ID,RowType,Version,Scope,Category,Title,Priority,Risk,Capabilities / Test Data,Preconditions,Steps / Endpoint Chain,Expected Result,SpecReference,Notes,Status
TC-SEATMAP-POS-02,EndpointTestCase,V2,SEATMAP,Positive,[SeatMap][Response] Verify GetSeatMap now sets getSeatMapOfferId and getSeatMapResponceID collection variables and that Book consumes them as its ResponseId/selectedOfferId when SeatMap precedes it.,High,High,"Standard GetSeatMap body (supplier, credentialsSelector, ResponseId=getAddPaxResponceID, selectedOfferId=getAddPaxOfferId) against an isSeatMapRequired=true offer.",AddPassenger completed; getAddPaxOfferId/getAddPaxResponceID available. Collection variables reset before starting (SPEC.md §6.1).,"AddPassenger -> GetSeatMap (send ResponseId/selectedOfferId = AddPassenger's IDs) -> capture resp.offerId/resp.responseId -> Book (send ResponseId=getSeatMapResponceID, selectedOfferId=getSeatMapOfferId).","GetSeatMap returns HTTP 200 with a non-empty offerId/responseId; the collection variables getSeatMapOfferId and getSeatMapResponceID (note the collection's own ""Responce"" spelling) are populated from these; Book accepts them and returns pnr/bookingToken/gdsPNR without needing AddPassenger's IDs re-sent -- this is a behavior change from before 2026-08-10, when GetSeatMap set no variables at all and Book still read AddPassenger's IDs.","SPEC.md §2.7, §2.9",This confirms the newly-added chaining supersedes the previously-documented AddPassenger-to-Book path whenever GetSeatMap is in the flow. Feed the confirmed live behavior back into SPEC.md §2.7/§2.9 once run (living-document policy).,Not Run
TC-SEATMAP-VAL-03,EndpointTestCase,V2,SEATMAP,Validation,[SeatMap][Response] Verify the cellID value in cellDetails.cellID round-trips correctly into Book's passengersSelectedSeats.setSegmentsSeats.cellId (casing differs: cellID vs cellId).,High,Medium,"One GetSeatMap response's seatMapDetails.<segmentRefId>.rows[].cells[].cellDetails.cellID value, copied verbatim into a subsequent Book request's passengersSelectedSeats.<paxRef>.setSegmentsSeats.<segmentRefId>.cellId field.",GetSeatMap completed for a confirmed offer; a specific AvailablePaid cell identified in the response.,"GetSeatMap -> record cellDetails.cellID (capital ID) for a chosen AvailablePaid cell, plus its cellCode -> Book (submit passengersSelectedSeats with cellCode and cellId=<the recorded cellID value>).","Book accepts the token despite the field-name casing difference between the response (cellID) and the request (cellId) and attaches the correct seat, echoed back in the response's passengersSelectedSeats/selectedOffer.passengerFareBreakdown[].passengerSeats.","SPEC.md §2.7, §2.9, §8.3","Casing mismatch is a genuine, evidenced inconsistency in the collection, not a typo introduced by this document -- confirm live whether it is purely cosmetic (case-insensitive JSON binding) as INFERRED, and fold the confirmed answer back into SPEC.md §2.7.",Not Run
TC-SEATMAP-VAL-04,EndpointTestCase,V2,SEATMAP,Validation,[SeatMap][Request] Validate a cellID obtained from one offer's GetSeatMap response is rejected when submitted in Book for a different offer.,High,High,"cellID captured from GetSeatMap under Offer A's ResponseId/selectedOfferId, then submitted in a Book request built against Offer B's ResponseId/selectedOfferId (a fresh, unrelated Search->FareConfirm->AddPassenger->GetSeatMap chain).","Two independent, completed Search->FareConfirm->AddPassenger->GetSeatMap chains (Offer A and Offer B) for the same supplier/credentialsSelector.","Chain A: Search->FareConfirm->AddPassenger->GetSeatMap, record cellID_A. Chain B: Search->FareConfirm->AddPassenger->GetSeatMap, obtain getSeatMapResponceID_B/getSeatMapOfferId_B. Book using Chain B's ResponseId/selectedOfferId but passengersSelectedSeats.cellId=cellID_A.","Request is rejected (exact status UNKNOWN -- confirm live per §7.9), since cellID appears (per its base64-decoded contents) to embed the originating ResponseId/OfferId/passenger-ref metadata and is presumably bound to the offer it was issued for.","SPEC.md §2.7, §2.9, §7.7",High-value negative test derived directly from the observed structure of the cellID token (SPEC.md §2.7's decoded-metadata observation) -- do not skip on the assumption the token is unchecked server-side.,Not Run
TC-SEATMAP-BND-02,EndpointTestCase,V2,SEATMAP,Boundary,"[SeatMap][Response] Verify cellAvailability/paxCellAvailability values are limited to AvailablePaid, Blocked, and Occupied, and that Aisle-category cells carry no seatPriceDetails.",Medium,Medium,"A full seatMapDetails response for at least one multi-row, multi-column segment, inspected cell-by-cell.",GetSeatMap completed for a confirmed offer with a populated seatMapDetails.,GetSeatMap -> enumerate every cells[] entry across all rows for one segment -> record the distinct cellCategory and cellAvailability/paxCellAvailability values observed.,"Every cellCategory value observed is one of {Seat, Aisle}; every cellAvailability/paxCellAvailability value observed is one of {AvailablePaid, Blocked, Occupied}. If a new value appears (e.g. an ""available free"" state), log it and flag rather than hard-failing (§8.3 policy for UNKNOWN enumerations) -- do not assume the three known values are exhaustive.","SPEC.md §2.7, §8.3",Updates the pre-2026-08-10 enumeration (which only listed Occupied/AvailablePaid and Seat) -- Blocked and Aisle are newly confirmed via the fuller raw example added this update.,Not Run
TC-SEATMAP-BIZ-02,EndpointTestCase,V2,SEATMAP,Business Rule,[SeatMap][Response] Verify seatPriceDetailsByPassenger.totalPrice reconciles to basePrice + taxesPrice for every priced cell.,Medium,Medium,Every AvailablePaid cell's seatPriceDetailsByPassenger.<paxRef> object in one GetSeatMap response.,GetSeatMap completed for a confirmed offer with at least one AvailablePaid cell.,"GetSeatMap -> for every AvailablePaid cell, read seatPriceDetailsByPassenger.<paxRef>.{totalPrice, basePrice, taxesPrice}.","totalPrice.amount == basePrice.amount + taxesPrice.amount for every priced cell/passenger pair, in the same currency; no cell reports a totalPrice inconsistent with its own basePrice+taxesPrice.","SPEC.md §2.7, §7.10","Same class of derived-field arithmetic check as the endpoint-level price-reconciliation formula (§2.1), applied at the per-seat-cell granularity introduced by this endpoint.",Not Run
TC-SEATMAP-REG-02,EndpointTestCase,V2,SEATMAP,Regression,"[SeatMap][Response] Verify seatMapDetails.<segment>.{cabinLayoutsByDeck, rows[].{rowNumber,deck,cells[].{cellCategory,column,cellDetails}}} structure matches the fuller schema captured 2026-08-10, AND flag/tolerate the flat-columns supplier variant (no zones[]/zoneId) confirmed present in a saved example.",Medium,Medium,"A complete GetSeatMap response snapshot for one segment, diffed key-for-key against the schema now documented in SPEC.md §2.7. CONFIRMED SCHEMA VARIANT (2026-08-24, from ""CI_SeatMap Repsonse.json"", AirArabia): this saved example uses a FLAT cabinLayoutsByDeck.<Deck>.columns[] array of column-letter strings (nulls marking aisle positions) with NO zones[] wrapper, and rows[] entries carry NO zoneId field at all -- neither key exists anywhere in this file, contradicting SPEC.md §2.7's documented zones[].{zoneId,columns} / rows[].zoneId shape.",GetSeatMap completed for a confirmed offer.,"GetSeatMap -> snapshot the full response -> schema-diff against SPEC.md §2.7's current field list -> explicitly branch on which cabinLayoutsByDeck shape this supplier returns (zones[].{zoneId,columns} vs. a flat columns[] array) and whether rows[] entries carry zoneId at all, rather than assuming one shape.","Every OTHER key listed in SPEC.md §2.7 (rows[].{rowNumber,deck,cells[].{cellCategory,column,cellDetails.{cellID,cellCode,cellAvailability,name,description,seatPriceDetails,seatPriceDetailsByPassenger,cellCharacteristics}}}) is present and correctly typed. The cabinLayoutsByDeck/zoneId shape is now confirmed to vary by supplier -- do NOT hard-fail a response for lacking zones[]/zoneId if it instead provides the flat columns[] array (AirArabia-confirmed variant); do NOT hard-fail a response for lacking the flat columns[] array if it instead provides zones[]/zoneId. Treat presence of at least one of the two shapes as passing, and log which shape each supplier uses.","SPEC.md §2.7, §8.1-item8; NDC_Integration/Resources/SeatResources/""CI_SeatMap Repsonse.json""","Baseline regression snapshot for future passes; also resolves the prior ambiguity about whether cellDetails was a genuine JSON object vs. a stringified .NET dump -- confirmed genuine JSON object as of this update. NEW as of 2026-08-24: the zones[]/zoneId shape SPEC.md documents is NOT universal -- fold this per-supplier schema variance back into SPEC.md §2.7 rather than treating one shape as canonical and the other as a defect.",Not Run
TC-BOOK-POS-03,EndpointTestCase,V2,BOOK,Positive,"[Book][Request] Validate Book accepts a single-passenger, single-segment passengersSelectedSeats selection and echoes it correctly.",High,High,"passengersSelectedSeats: { ""T1"": { ""setSegmentsSeats"": { ""S1"": { ""cellCode"": ""12E"", ""cellId"": ""<cellID copied verbatim from GetSeatMap>"" } } } }, ResponseId/selectedOfferId = getSeatMapResponceID/getSeatMapOfferId.",GetSeatMap completed; an AvailablePaid cell's cellCode and cellID recorded (TC-SEATMAP-VAL-03).,"AddPassenger -> GetSeatMap (record cellCode/cellID) -> Book (ResponseId=getSeatMapResponceID, selectedOfferId=getSeatMapOfferId, passengersSelectedSeats as above).","HTTP 200; pnr/bookingToken/gdsPNR returned; response top-level passengersSelectedSeats.T1.S1 == {cellCode:""12E"", price:{amount,currency}}; selectedOffer.passengerFareBreakdown[].passengerSeats contains the same {cellCode,price}; selectedOffer.priceDetails.totalSelectedSeats/totalSelectedSeatsAmount reflect the same price.",SPEC.md §2.9,"This is the primary new positive case for the entire 2026-08-10 update -- baseline for every other Book-with-seat case below. CONFIRMED cross-supplier (2026-08-24): NDC_Integration/Resources/SeatResources/BookWithSeatMapReq.txt + BookWithSeatMapResponse.txt is a genuine second worked example of exactly this scenario, on OmanAirV17 (pnr IIFBUM, gdsPNR OBMFA1) -- use it as a second reference fixture alongside whichever supplier this test case is actually run against, to confirm the response shape isn't supplier-specific.",Not Run
TC-BOOK-NEG-05,EndpointTestCase,V2,BOOK,Negative,[Book][Request] Validate Book rejects a passengersSelectedSeats selection whose cellCode/cellId refers to a Blocked or Occupied cell.,High,High,passengersSelectedSeats populated with a cellCode/cellId pair taken from a cell whose GetSeatMap cellAvailability was Blocked or Occupied.,GetSeatMap completed; at least one Blocked or Occupied cell identified in the response.,GetSeatMap (identify a Blocked/Occupied cell) -> Book (submit passengersSelectedSeats using that cell's cellCode/cellId).,"Request is rejected (exact status UNKNOWN -- confirm live per §7.9); no booking is created, or if a PNR is created it must NOT reflect the unavailable seat as attached -- either outcome should be logged precisely, since both are plausible failure modes for an unenforced availability check.","SPEC.md §2.7, §2.9, §7.7","If the API silently books the Blocked/Occupied cell anyway, that is a defect against the cellAvailability contract, not an acceptable UNKNOWN resolution.",Not Run
TC-BOOK-NEG-06,EndpointTestCase,V2,BOOK,Negative,[Book][Request] Validate Book rejects a passengersSelectedSeats.cellId value that has been truncated or otherwise tampered with.,Medium,Medium,"A valid cellId token with several trailing base64 characters removed or altered, otherwise identical Book payload.",GetSeatMap completed; a valid cellID recorded.,"GetSeatMap (record a valid cellID) -> Book (submit passengersSelectedSeats with cellId = the same token minus its last ~10 characters, or with one character flipped).",Request is rejected (exact status UNKNOWN -- confirm live) since the tampered token should fail whatever server-side decode/signature check the opaque cellId undergoes.,"SPEC.md §2.7, §2.9, §7.7","Standard opaque-token-tamper negative pattern, same class already applied to AncillaryCode (§2.8) and offerId (§2.2) elsewhere in this suite.",Not Run
TC-BOOK-VAL-06,EndpointTestCase,V2,BOOK,Validation,[Book][Request] Validate Book's behavior when passengersSelectedSeats.cellCode does not match the cell that cellId actually encodes.,Medium,Medium,"passengersSelectedSeats with a valid cellId for cell ""12E"" but cellCode deliberately set to a different value, e.g. ""14C"".","GetSeatMap completed; a valid cellCode/cellId pair recorded for one cell, plus a second cellCode value from a different cell.","GetSeatMap (record cellCode=""12E""/cellId for that cell, and note a different cell's cellCode, e.g. ""14C"") -> Book (submit passengersSelectedSeats with cellCode=""14C"" but cellId = the ""12E"" token).","UNKNOWN -- confirm live whether the API trusts cellId alone (ignoring/overwriting the mismatched cellCode), rejects the request outright, or books the wrong seat under the wrong displayed code. All three are plausible given cellId is described as the metadata-bearing field and cellCode as a display label.","SPEC.md §2.7, §2.9, §7.11",This directly tests whether cellCode is decorative (server derives truth from cellId) or independently validated -- the answer materially affects how strictly future test cases must keep the two fields in sync.,Not Run
