"ID","RowType","Version","Scope","Category","Title","Priority","Risk","Capabilities / Test Data","Preconditions","Steps / Endpoint Chain","Expected Result","SpecReference","Notes","Status"
"TC-SEARCH-POS-01","EndpointTestCase","Both","SEARCH","POS","[Search][Request] Verify a valid multi-field Search request returns a non-empty offers array for a supported route.","High","High","Supplier_Name=TravelportNdc, Credentials_Selector=UAE (or any pair confirmed live-capable per section 4.7); searchCriteria=[{origin:CAI,destination:JED,date:<future date>}]; passengers=[{ADT,2},{CHD,1},{INF,1}]; V1 POST api/FlightSearch/Search, V2 POST api/V2/FlightSearch/Search","Supplier/credentialsSelector pair confirmed technically reachable; STAG_ENV baseUrl selected; valid x-api-key/Client-Id headers set","[Search] POST with supplier, credentialsSelector, searchCriteria (origin/destination/date), passengers (ADT/CHD/INF counts) -> inspect response","HTTP 200; offers[] non-empty; every offer carries offerId, priceDetails, and haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired flags; responseId present and usable downstream as searchResponseId (V1) / ResponseId (V2)","SPEC.md section 2.1","Both versions share body shape and business purpose; only the URL path casing (V2 vs v2 is not an issue here, Search uses V2 in both) and downstream field name (searchResponseId vs ResponseId) differ, and that difference surfaces at FareConfirm, not at Search itself.","Not Run"
"TC-SEARCH-NEG-01","EndpointTestCase","Both","SEARCH","NEG","[Search][Request] Validate Search request is rejected when the supplier field is omitted.","High","Medium","Otherwise-valid Search body with the supplier key removed entirely; both V1 api/FlightSearch/Search and V2 api/V2/FlightSearch/Search","Valid credentialsSelector and searchCriteria/passengers present","[Search] POST body with supplier field omitted -> observe response","Request rejected; exact status code and body shape UNKNOWN per section 7.9 -- confirm live and record as the baseline for this class of missing-required-field test.","SPEC.md section 2.1, section 7.7, section 8.1","Error-response envelope is not yet characterized anywhere in either collection; use section 7.9's dedicated characterization case (TC-VERSIONDIFF-NEG-01) as the authority once run.","Not Run"
"TC-SEARCH-NEG-02","EndpointTestCase","Both","SEARCH","NEG","[Search][Request] Validate Search request is rejected when searchCriteria is omitted.","High","Medium","Otherwise-valid Search body with searchCriteria array removed entirely; both versions","Valid supplier/credentialsSelector/passengers present","[Search] POST body with searchCriteria omitted -> observe response","Request rejected; exact status code/body UNKNOWN, confirm live.","SPEC.md section 2.1, section 7.7","Same missing-required-field pattern as supplier; consolidate the generic field-omission sweep across both fields once error shape is confirmed.","Not Run"
"TC-SEARCH-NEG-03","EndpointTestCase","Both","SEARCH","NEG","[Search][Request] Validate Search behavior for an invalid or lowercase IATA origin/destination code.","Medium","Medium","origin='XXX' (invalid code) and, separately, origin='cai' (lowercase valid code); both versions","Valid supplier/credentialsSelector/passengers present","[Search] POST with an unrecognized IATA code, then separately with a lowercase valid code -> observe response for each","UNKNOWN whether an invalid code 4xx's or returns an empty offers[] 200; case-sensitivity of IATA codes is also UNKNOWN -- confirm both live.","SPEC.md section 2.1 (Negative Cases, Request Rules)","A route the supplier does not fly is expected to be a valid negative/boundary test returning zero offers rather than an error, per section 2.1 -- distinguish that scenario from a genuinely malformed code in the write-up.","Not Run"
"TC-SEARCH-BND-02","EndpointTestCase","Both","SEARCH","BND","[Search][Request] Validate Search accepts a total passenger count of exactly 9 (ADT+CHD+INF combined).","High","Medium","passengers e.g. ADT=7,CHD=1,INF=1 (any mix summing to 9); both V1 and V2 Search","Valid supplier/credentialsSelector/searchCriteria","[Search] POST with passenger counts summing to exactly 9 -> observe response","HTTP 200; offers returned normally; no passenger-count rejection at the confirmed upper bound.","SPEC.md section 2.1, section 7.8, section 8.3","Reuses SPEC.md's own worked example shape (max = 9 confirmed hard business rule, not inferred).","Not Run"
"TC-SEARCH-BND-03","EndpointTestCase","Both","SEARCH","BND","[Search][Request] Validate Search rejects a total passenger count of 10, one over the confirmed 9-passenger maximum.","High","Medium","passengers summing to 10 (e.g. ADT=8,CHD=1,INF=1); both versions","Valid supplier/credentialsSelector/searchCriteria","[Search] POST with passenger counts summing to 10 -> observe response","Rejected; exact rejection point (4xx at Search itself vs accepted-then-rejected downstream) is UNKNOWN -- confirm live and record.","SPEC.md section 2.1, section 7.8","Primary negative/boundary counterpart to TC-SEARCH-BND-01; this is the confirmed hard business rule's over-the-limit case.","Not Run"
"TC-SEARCH-VAL-01","EndpointTestCase","Both","SEARCH","VAL","[Search][Response] Verify Search response's supplier field matches the request's supplier value verbatim.","Medium","Low","Any valid Search request; both versions","Valid Search request executed","supplier field on the response equals the supplier value sent in the request, unchanged","supplier is echoed back unchanged; no silent normalization/casing change.","SPEC.md section 2.1","credentialsSelector is not part of the observed Search response shape in either version -- this echo-consistency check applies to supplier only at this endpoint; credentialsSelector round-trip is better tested at an endpoint whose response does echo it, if one is found live.","Not Run"
"TC-SEARCH-BIZ-02","EndpointTestCase","Both","SEARCH","BIZ","[Search][Response] Verify the per-passenger-type price-reconciliation formula holds on every returned Search offer.","High","High","Any valid, multi-passenger-type Search response; both versions","Search returns at least one offer with a full passengerFareBreakdown","For each offer: sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount; sum((paxBaseAmount+taxes)*paxCount) reconciles to priceDetails.totalAmount.amount; totalBaseAmount == sum(paxBaseAmount*paxCount); totalTaxAmount == sum(taxes*paxCount)","All four reconciliation checks hold for every offer and every passenger type present.","SPEC.md section 2.1, section 1.10 item 4","V1 Search's test script enforces this automatically; V2 Search's script does NOT (it only sets searchResponseId/offerId) -- manual testing must independently supply this check for V2 Search since automation will not catch a drift there.","Not Run"
"TC-SEARCH-SEC-01","EndpointTestCase","Both","SEARCH","SEC","[Search][Request] Verify isdebug=true on Search exposes raw supplierRequest/supplierResponse fields, and confirm whether isdebug=false or omitted suppresses them.","Critical","High","Same otherwise-valid Search request sent three ways: isdebug=true, isdebug=false, isdebug omitted; repro against AirArabia (the supplier with the observed finding) plus at least one other supplier; both versions","Access to a non-production environment for this test; awareness that a positive result must be escalated immediately","[Search] POST with isdebug=true -> inspect supplierRequest/supplierResponse; repeat with isdebug=false; repeat with isdebug omitted -> compare presence/absence of the two fields across all three runs","With isdebug=true, supplierRequest/supplierResponse are present and may contain raw upstream SOAP/XML; the AirArabia observed example's supplierResponse contained apparent live supplier SOAP credentials (wsse:Username/wsse:Password) in plaintext -- any such exposure must be flagged explicitly. Behavior of isdebug=false/omitted is UNKNOWN and must be confirmed live.","SPEC.md section 2.1, section 7.14","The single most concrete security finding in the whole spec. Escalate any confirmed plaintext-credential exposure to the security/dev team immediately regardless of this test case's pass/fail status; also confirm whether this response data is logged or cached downstream.","Not Run"
"TC-SEARCH-REG-01","EndpointTestCase","Both","SEARCH","REG","[Search][Response] Verify Search response schema matches the baseline [Observed example] shape with no unexpected field removal, rename, or retype.","Medium","Medium","Baseline: the section 2.1 [Observed example, V2] response shape; both versions compared against their own prior known-good run","A previously captured known-good Search response exists as the regression baseline","Run Search -> diff every top-level and nested key (responseId, supplier, journeys, flightSegments, priceClasses, baggageDetails, offers[] and its nested fields, supplierRequest/supplierResponse when isdebug=true) against the baseline for presence and type","Schema matches the baseline exactly; any drift (field renamed, removed, or retyped) is reported as a regression even if the flow otherwise passes.","SPEC.md section 2.1, section 7.4, section 8.1 item 8","V1 has no saved example response at all in the collection (response:[] on every V1 request) -- V1's baseline must be captured from a live run rather than an existing example.","Not Run"
