"ID","RowType","Version","Scope","Category","Title","Priority","Risk","Capabilities / Test Data","Preconditions","Steps / Endpoint Chain","Expected Result","SpecReference","Notes","Status"
"FLOW-V2-25","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family A (AddPassenger-Book-Retrieve)","End-to-End Flow - Positive","[FC-NONE-A][Response] Verify Search -> FareConfirm -> AddPassenger -> Book -> Retrieve completes with a booked/confirmed bookingStatus at the final Retrieve, matching Book's selectedOffer/price.","High","High","Required Capabilities: none beyond universal. Enrichment endpoints in scope: none.","Supplier_Name + Credentials_Selector chosen and confirmed live-capable for this flow's Required Capabilities (none beyond universal) via the Section 4.7 pre-flow confirmation procedure (Search then FareConfirm, inspecting haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired on the live offer) -- do not rely on the static Section 4.2/4.6 matrix alone. Collection-scoped variables (searchResponseId, offerId, fareConfirmResponseId, getAddPaxOfferId/getAddPaxResponceID, ANCofferId/ANCresponseId, pnr, bookingToken, gdsPNR, etc.) reset/cleared before starting so no stale ID carries over from a prior flow run (Section 6.1). Target environment confirmed non-production, or production Book/BookAfterHold explicitly authorized per the Section 2.9 Testing Note, since this flow commits a live booking.","Search (send searchCriteria/passengers; capture responseId->searchResponseId, offers[0].offerId->offerId per the offers[0] test-script convention, SPEC.md 2.1) -> FareConfirm (send ResponseId=searchResponseId [V2 field-name difference vs V1's searchResponseId, 2.2], selectedOfferId=offerId; capture fareConfirmResponseId, selectedOfferId=fareConfirmSelectedOfferId; ASSERT capability flags on selectedOffer relevant to this flow -- no enrichment flags required for this flow, but record them for reference -- these live per-offer flags are authoritative over the static Section 4.2 capability matrix, 2.1/2.2) -> AddPassenger (send ResponseId/selectedOfferId = FareConfirm's own IDs; submit passengersList {title,name,nationality,residentCountry,birthDate,gender,passengerTypeCode,contactRefId,travelDocument,ParentPaxRefId for any INF} + contactsList; capture getAddPaxOfferId, getAddPaxResponceID [collection's own ""Responce"" typo] -- these SUPERSEDE FareConfirm's IDs for every subsequent V2 step, 2.5) -> Book (send ResponseId/selectedOfferId = the most-current ID pair (getAddPaxOfferId/getAddPaxResponceID); capture pnr, bookingToken, gdsPNR, voidCapability; MANUAL price-reconciliation check here -- V2 Book's script does not enforce it, 2.9/6.2) -> Retrieve (send pnr/bookingToken/gdsPNR; ASSERT bookingStatus=booked/confirmed, selectedOffer matches Book's; MANUAL price-reconciliation check here too -- V2 Retrieve has zero script assertions, 2.11/6.2)","Per-family state check (SPEC.md 6.3, Family A): bookingStatus reads a booked/confirmed state at the final Retrieve, with selectedOffer.offerId/priceDetails.totalAmount matching between Book and Retrieve. Manual price-reconciliation requirement (V2 script coverage gap, SPEC.md 1.4/2.1/6.2/7.10): per passenger type, sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount, and totals reconcile per the Section 2.1 formula; this is enforced by script at Hold/FareConfirmAfterHold/BookAfterHold in V2, but NOT at Search/FareConfirm/Book/Retrieve -- the tester must supply this check manually at every Book/Retrieve step in this flow.","2.1, 2.2, 2.5, 2.9, 2.10, 2.11, 2.12, 2.13, 3.2, 6.2, 6.3, 7.5, 7.10","This is the V2 smoke-test shape per SPEC.md 7.5 (Search->FareConfirm->AddPassenger->Book->Retrieve) -- run this before any broader V2 flow testing. V2 price-reconciliation script coverage gap: enforced at Hold/FareConfirmAfterHold/BookAfterHold, NOT at Search/FareConfirm/Book/Retrieve -- supply the Section 2.1 formula check manually at every Book/Retrieve step in this flow (1.4/7.10).","Not Run"
"FLOW-V2-25-NEG","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family A | Negative: CROSS ID","End-to-End Flow - Negative (CROSS ID)","[FC-NONE-A][Request] Validate that FareConfirm rejects an ID/context pair whose supplier or credentialsSelector does not match the one used earlier in the same chain.","High","High","Required Capabilities: none beyond universal. Injected fault targets: FareConfirm. Fault class: CROSS ID.","Same supplier/credentialsSelector capability-confirmation and variable-reset preconditions as FLOW-V2-25 (Section 4.7, 6.1). Tester deliberately introduces the described fault at the FareConfirm hop instead of the correct value/flag/timing.","Run the positive chain up to and including FareConfirm (Search -> FareConfirm -> AddPassenger -> Book -> Retrieve), then inject the fault at the FareConfirm hop as described: that FareConfirm rejects an ID/context pair whose supplier or credentialsSelector does not match the one used earlier in the same chain. Do not proceed past the point where rejection is expected; if the API unexpectedly accepts the faulted request, continue to the next step and record the resulting state as a defect.","UNKNOWN exact status -- confirm live. SPEC.md 1.7/3.2 treats supplier/credentialsSelector as a stateless per-call re-check, so a chain that switches supplier/credentialsSelector mid-flow while reusing IDs from the original supplier is expected to be rejected, not silently honored.","1.7, 3.2, 3.3, 7.7, 7.14","Use ""UNKNOWN exact status -- confirm live"" verbatim in defect reports where SPEC.md does not evidence the failure shape, per Section 7.9's finding that no negative/error example exists in either Postman collection.","Not Run"
"FLOW-V2-26","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family B (Hold-FareConfirmAfterHold-Retrieve)","End-to-End Flow - Positive","[FC-NONE-B][Response] Verify Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve completes with a held bookingStatus and a future holdExpirationDate at the final Retrieve (flow intentionally stops here -- dangling Held booking).","Medium","Medium","Required Capabilities: Hold. Treat AirCairo/EgyptAir/Galileo/SpiceJet/GLC Hold-capability as conflicting-across-sources (4.4), and Indigo/ElJazeera/OmainAir as affected by a capability name-mismatch bug (4.5) -- neither is confirmed-unsupported, both need live confirmation. Enrichment endpoints in scope: none.","Supplier_Name + Credentials_Selector chosen and confirmed live-capable for this flow's Required Capabilities (Hold) via the Section 4.7 pre-flow confirmation procedure (Search then FareConfirm, inspecting haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired on the live offer) -- do not rely on the static Section 4.2/4.6 matrix alone. Collection-scoped variables (searchResponseId, offerId, fareConfirmResponseId, getAddPaxOfferId/getAddPaxResponceID, ANCofferId/ANCresponseId, pnr, bookingToken, gdsPNR, etc.) reset/cleared before starting so no stale ID carries over from a prior flow run (Section 6.1). Tester is prepared to log the resulting pnr in the Family-B dangling-Hold tracking sheet, since this flow intentionally stops at a held (uncommitted) state (Section 5.2/6.3). Caution: do not select AirCairo, EgyptAir, Galileo, or SpiceJet for Hold-dependent capabilities without live confirmation -- their Hold support conflicts across SPEC.md source documents (Section 4.4); GLC is confirmed Hold=Not Supported by both sources. Indigo/ElJazeera/OmainAir capability lookups are affected by a known name-mismatch bug (Section 4.5) -- ""no data"" for these three is not evidence of ""unsupported"".","Search (send searchCriteria/passengers; capture responseId->searchResponseId, offers[0].offerId->offerId per the offers[0] test-script convention, SPEC.md 2.1) -> FareConfirm (send ResponseId=searchResponseId [V2 field-name difference vs V1's searchResponseId, 2.2], selectedOfferId=offerId; capture fareConfirmResponseId, selectedOfferId=fareConfirmSelectedOfferId; ASSERT capability flags on selectedOffer relevant to this flow -- no enrichment flags required for this flow, but record them for reference -- these live per-offer flags are authoritative over the static Section 4.2 capability matrix, 2.1/2.2) -> AddPassenger (send ResponseId/selectedOfferId = FareConfirm's own IDs; submit passengersList {title,name,nationality,residentCountry,birthDate,gender,passengerTypeCode,contactRefId,travelDocument,ParentPaxRefId for any INF} + contactsList; capture getAddPaxOfferId, getAddPaxResponceID [collection's own ""Responce"" typo] -- these SUPERSEDE FareConfirm's IDs for every subsequent V2 step, 2.5) -> Hold (send the same current ID pair (getAddPaxOfferId/getAddPaxResponceID); capture pnr, bookingToken, gdsPNR, holdExpirationDate; price-reconciliation IS script-enforced for V2 Hold, 2.10) -> FareConfirmAfterHold/PnrReprice (send pnr/bookingToken/gdsPNR unchanged + surName; re-validate price -- script-enforced in both versions, 2.12) -> Retrieve (ASSERT bookingStatus=held, holdExpirationDate present and future; MANUAL price-reconciliation check -- V2 Retrieve not script-enforced) -- FLOW STOPS HERE by design (Family B); log pnr for cleanup/expiry tracking","Per-family state check (SPEC.md 6.3, Family B): bookingStatus reads a held (not yet ticketed) state with holdExpirationDate present and in the future at the final Retrieve -- the flow deliberately STOPS here (Family B, no BookAfterHold/CancelAfterHold), leaving a dangling Held booking; log the pnr for out-of-band cleanup/expiry tracking per SPEC.md Section 6.3. Manual price-reconciliation requirement (V2 script coverage gap, SPEC.md 1.4/2.1/6.2/7.10): per passenger type, sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount, and totals reconcile per the Section 2.1 formula; this is enforced by script at Hold/FareConfirmAfterHold/BookAfterHold in V2, but NOT at Search/FareConfirm/Book/Retrieve -- the tester must supply this check manually at every Book/Retrieve step in this flow.","2.1, 2.2, 2.5, 2.9, 2.10, 2.11, 2.12, 2.13, 3.2, 6.2, 6.3, 7.5, 7.10","Family B leaves a dangling Held booking with no cleanup step in the flow itself (SPEC.md 5.2/6.3) -- log the pnr for tracking. V2 price-reconciliation script coverage gap: enforced at Hold/FareConfirmAfterHold/BookAfterHold, NOT at Search/FareConfirm/Book/Retrieve -- supply the Section 2.1 formula check manually at every Book/Retrieve step in this flow (1.4/7.10).","Not Run"
"FLOW-V2-26-NEG","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family B | Negative: STALE ADDPAX","End-to-End Flow - Negative (STALE ADDPAX)","[FC-NONE-B][Request] Validate that Hold rejects a stale/mismatched getAddPaxOfferId/getAddPaxResponceID pair.","Medium","Medium","Required Capabilities: Hold. Injected fault targets: Hold. Fault class: STALE ADDPAX.","Same supplier/credentialsSelector capability-confirmation and variable-reset preconditions as FLOW-V2-26 (Section 4.7, 6.1). Tester deliberately introduces the described fault at the Hold hop instead of the correct value/flag/timing.","Run the positive chain up to and including Hold (Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve), then inject the fault at the Hold hop as described: that Hold rejects a stale/mismatched getAddPaxOfferId/getAddPaxResponceID pair. Do not proceed past the point where rejection is expected; if the API unexpectedly accepts the faulted request, continue to the next step and record the resulting state as a defect.","The request is rejected since the ID pair does not derive from this flow's own AddPassenger response. Exact rejection status is UNKNOWN -- confirm live per SPEC.md 2.5/3.2/3.3.","2.5, 3.2, 3.3, 7.2, 7.7","Use ""UNKNOWN exact status -- confirm live"" verbatim in defect reports where SPEC.md does not evidence the failure shape, per Section 7.9's finding that no negative/error example exists in either Postman collection.","Not Run"
"FLOW-V2-27","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family C (Book-Retrieve-Void)","End-to-End Flow - Positive","[FC-NONE-C][Response] Verify Search -> FareConfirm -> AddPassenger -> Book -> Retrieve -> Void completes with a booked bookingStatus at Retrieve followed by a successful Void (gated by voidCapability).","Medium","High","Required Capabilities: Void. Enrichment endpoints in scope: none.","Supplier_Name + Credentials_Selector chosen and confirmed live-capable for this flow's Required Capabilities (Void) via the Section 4.7 pre-flow confirmation procedure (Search then FareConfirm, inspecting haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired on the live offer) -- do not rely on the static Section 4.2/4.6 matrix alone. Collection-scoped variables (searchResponseId, offerId, fareConfirmResponseId, getAddPaxOfferId/getAddPaxResponceID, ANCofferId/ANCresponseId, pnr, bookingToken, gdsPNR, etc.) reset/cleared before starting so no stale ID carries over from a prior flow run (Section 6.1). Target environment confirmed non-production, or production Book/BookAfterHold explicitly authorized per the Section 2.9 Testing Note, since this flow commits a live booking.","Search (send searchCriteria/passengers; capture responseId->searchResponseId, offers[0].offerId->offerId per the offers[0] test-script convention, SPEC.md 2.1) -> FareConfirm (send ResponseId=searchResponseId [V2 field-name difference vs V1's searchResponseId, 2.2], selectedOfferId=offerId; capture fareConfirmResponseId, selectedOfferId=fareConfirmSelectedOfferId; ASSERT capability flags on selectedOffer relevant to this flow -- no enrichment flags required for this flow, but record them for reference -- these live per-offer flags are authoritative over the static Section 4.2 capability matrix, 2.1/2.2) -> AddPassenger (send ResponseId/selectedOfferId = FareConfirm's own IDs; submit passengersList {title,name,nationality,residentCountry,birthDate,gender,passengerTypeCode,contactRefId,travelDocument,ParentPaxRefId for any INF} + contactsList; capture getAddPaxOfferId, getAddPaxResponceID [collection's own ""Responce"" typo] -- these SUPERSEDE FareConfirm's IDs for every subsequent V2 step, 2.5) -> Book (send (getAddPaxOfferId/getAddPaxResponceID); capture pnr, bookingToken, gdsPNR, voidCapability; MANUAL price-reconciliation check, V2 gap) -> Retrieve (ASSERT bookingStatus=booked; MANUAL price-reconciliation check, V2 gap) -> Void (send pnr, gdsPNR, bookingToken, surName, voidTickets=[]; ONLY expected to succeed if the Book response's voidCapability != VoidNotAllowed, 2.9/2.15; a follow-up manual Retrieve should show voided/cancelled)","Per-family state check (SPEC.md 6.3, Family C): bookingStatus reads booked at Retrieve, then Void succeeds (gated by voidCapability != VoidNotAllowed), and a follow-up manual Retrieve should show a voided/cancelled bookingStatus. Manual price-reconciliation requirement (V2 script coverage gap, SPEC.md 1.4/2.1/6.2/7.10): per passenger type, sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount, and totals reconcile per the Section 2.1 formula; this is enforced by script at Hold/FareConfirmAfterHold/BookAfterHold in V2, but NOT at Search/FareConfirm/Book/Retrieve -- the tester must supply this check manually at every Book/Retrieve step in this flow.","2.1, 2.2, 2.5, 2.9, 2.10, 2.11, 2.12, 2.13, 2.15, 3.2, 6.2, 6.3, 7.5, 7.10","V2 price-reconciliation script coverage gap: enforced at Hold/FareConfirmAfterHold/BookAfterHold, NOT at Search/FareConfirm/Book/Retrieve -- supply the Section 2.1 formula check manually at every Book/Retrieve step in this flow (1.4/7.10).","Not Run"
"FLOW-V2-27-NEG","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family C | Negative: VOID NOTALLOWED","End-to-End Flow - Negative (VOID NOTALLOWED)","[FC-NONE-C][Response] Verify that Void fails when the preceding Book/BookAfterHold response reported voidCapability=VoidNotAllowed.","Medium","High","Required Capabilities: Void. Injected fault targets: Void. Fault class: VOID NOTALLOWED.","Same supplier/credentialsSelector capability-confirmation and variable-reset preconditions as FLOW-V2-27 (Section 4.7, 6.1). Tester deliberately introduces the described fault at the Void hop instead of the correct value/flag/timing.","Run the positive chain up to and including Void (Search -> FareConfirm -> AddPassenger -> Book -> Retrieve -> Void), then inject the fault at the Void hop as described: that Void fails when the preceding Book/BookAfterHold response reported voidCapability=VoidNotAllowed. Do not proceed past the point where rejection is expected; if the API unexpectedly accepts the faulted request, continue to the next step and record the resulting state as a defect.","Void is expected to fail/be rejected. voidCapability is a live, per-booking flag (SPEC.md 2.9) that should be checked before attempting Void; exact rejection shape is UNKNOWN -- confirm live.","2.9, 2.15, 3.2, 6.3(Family C/E), 7.7","Use ""UNKNOWN exact status -- confirm live"" verbatim in defect reports where SPEC.md does not evidence the failure shape, per Section 7.9's finding that no negative/error example exists in either Postman collection.","Not Run"
"FLOW-V2-28","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family D (Retrieve-BookAfterHold-Retrieve)","End-to-End Flow - Positive","[FC-NONE-D][Response] Verify Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve -> BookAfterHold -> Retrieve completes with bookingStatus transitioning held -> booked via BookAfterHold, with pnr/bookingToken/gdsPNR unchanged from Hold.","Medium","High","Required Capabilities: Hold. Treat AirCairo/EgyptAir/Galileo/SpiceJet/GLC Hold-capability as conflicting-across-sources (4.4), and Indigo/ElJazeera/OmainAir as affected by a capability name-mismatch bug (4.5) -- neither is confirmed-unsupported, both need live confirmation. Enrichment endpoints in scope: none.","Supplier_Name + Credentials_Selector chosen and confirmed live-capable for this flow's Required Capabilities (Hold) via the Section 4.7 pre-flow confirmation procedure (Search then FareConfirm, inspecting haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired on the live offer) -- do not rely on the static Section 4.2/4.6 matrix alone. Collection-scoped variables (searchResponseId, offerId, fareConfirmResponseId, getAddPaxOfferId/getAddPaxResponceID, ANCofferId/ANCresponseId, pnr, bookingToken, gdsPNR, etc.) reset/cleared before starting so no stale ID carries over from a prior flow run (Section 6.1). Target environment confirmed non-production, or production Book/BookAfterHold explicitly authorized per the Section 2.9 Testing Note, since this flow commits a live booking. Caution: do not select AirCairo, EgyptAir, Galileo, or SpiceJet for Hold-dependent capabilities without live confirmation -- their Hold support conflicts across SPEC.md source documents (Section 4.4); GLC is confirmed Hold=Not Supported by both sources. Indigo/ElJazeera/OmainAir capability lookups are affected by a known name-mismatch bug (Section 4.5) -- ""no data"" for these three is not evidence of ""unsupported"".","Search (send searchCriteria/passengers; capture responseId->searchResponseId, offers[0].offerId->offerId per the offers[0] test-script convention, SPEC.md 2.1) -> FareConfirm (send ResponseId=searchResponseId [V2 field-name difference vs V1's searchResponseId, 2.2], selectedOfferId=offerId; capture fareConfirmResponseId, selectedOfferId=fareConfirmSelectedOfferId; ASSERT capability flags on selectedOffer relevant to this flow -- no enrichment flags required for this flow, but record them for reference -- these live per-offer flags are authoritative over the static Section 4.2 capability matrix, 2.1/2.2) -> AddPassenger (send ResponseId/selectedOfferId = FareConfirm's own IDs; submit passengersList {title,name,nationality,residentCountry,birthDate,gender,passengerTypeCode,contactRefId,travelDocument,ParentPaxRefId for any INF} + contactsList; capture getAddPaxOfferId, getAddPaxResponceID [collection's own ""Responce"" typo] -- these SUPERSEDE FareConfirm's IDs for every subsequent V2 step, 2.5) -> Hold (send (getAddPaxOfferId/getAddPaxResponceID); capture pnr, bookingToken, gdsPNR, holdExpirationDate; script-enforced price check) -> FareConfirmAfterHold (pnr/bookingToken/gdsPNR unchanged + surName; script-enforced price check) -> Retrieve (ASSERT bookingStatus=held) -> BookAfterHold (send pnr, gdsPNR/gdsPnr, bookingToken -- no passenger data resent; capture pnr/bookingToken/gdsPNR and ASSERT they are IDENTICAL to Hold's values, same-PNR invariant, 2.13; script-enforced price check) -> Retrieve (ASSERT bookingStatus transitions held->booked/confirmed)","Per-family state check (SPEC.md 6.3, Family D): bookingStatus transitions from held (after Hold/FareConfirmAfterHold) to booked/confirmed (after BookAfterHold), with pnr/bookingToken/gdsPNR identical to the values Hold produced (same-PNR invariant, SPEC.md Section 2.13). Manual price-reconciliation requirement (V2 script coverage gap, SPEC.md 1.4/2.1/6.2/7.10): per passenger type, sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount, and totals reconcile per the Section 2.1 formula; this is enforced by script at Hold/FareConfirmAfterHold/BookAfterHold in V2, but NOT at Search/FareConfirm/Book/Retrieve -- the tester must supply this check manually at every Book/Retrieve step in this flow.","2.1, 2.2, 2.5, 2.9, 2.10, 2.11, 2.12, 2.13, 3.2, 6.2, 6.3, 7.5, 7.10","V2 price-reconciliation script coverage gap: enforced at Hold/FareConfirmAfterHold/BookAfterHold, NOT at Search/FareConfirm/Book/Retrieve -- supply the Section 2.1 formula check manually at every Book/Retrieve step in this flow (1.4/7.10).","Not Run"
"FLOW-V2-28-NEG","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family D | Negative: POST EXPIRY","End-to-End Flow - Negative (POST EXPIRY)","[FC-NONE-D][Response] Verify the behavior of BookAfterHold when attempted after holdExpirationDate has already passed.","Medium","High","Required Capabilities: Hold. Injected fault targets: BookAfterHold. Fault class: POST EXPIRY.","Same supplier/credentialsSelector capability-confirmation and variable-reset preconditions as FLOW-V2-28 (Section 4.7, 6.1). Tester deliberately introduces the described fault at the BookAfterHold hop instead of the correct value/flag/timing.","Run the positive chain up to and including BookAfterHold (Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve -> BookAfterHold -> Retrieve), then inject the fault at the BookAfterHold hop as described: the behavior of BookAfterHold when attempted after holdExpirationDate has already passed. Do not proceed past the point where rejection is expected; if the API unexpectedly accepts the faulted request, continue to the next step and record the resulting state as a defect.","UNKNOWN exact status -- confirm live. SPEC.md 3.2/6.5 explicitly flags that no flow in flow.md exercises behavior past hold expiration; this is a high-value exploratory gap, not a documented failure mode. Do not assume a specific HTTP status without live confirmation.","2.12, 2.13, 2.14, 3.2, 6.5, 7.7","Use ""UNKNOWN exact status -- confirm live"" verbatim in defect reports where SPEC.md does not evidence the failure shape, per Section 7.9's finding that no negative/error example exists in either Postman collection.","Not Run"
"FLOW-V2-29","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family E (BookAfterHold-Retrieve-Void)","End-to-End Flow - Positive","[FC-NONE-E][Response] Verify Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve -> BookAfterHold -> Retrieve -> Void completes with bookingStatus transitioning held -> booked via BookAfterHold and then a successful Void.","Medium","High","Required Capabilities: Hold, Void. Treat AirCairo/EgyptAir/Galileo/SpiceJet/GLC Hold-capability as conflicting-across-sources (4.4), and Indigo/ElJazeera/OmainAir as affected by a capability name-mismatch bug (4.5) -- neither is confirmed-unsupported, both need live confirmation. Enrichment endpoints in scope: none.","Supplier_Name + Credentials_Selector chosen and confirmed live-capable for this flow's Required Capabilities (Hold, Void) via the Section 4.7 pre-flow confirmation procedure (Search then FareConfirm, inspecting haveBundles/canBeHeld/offerHasAncillary/isSeatMapRequired on the live offer) -- do not rely on the static Section 4.2/4.6 matrix alone. Collection-scoped variables (searchResponseId, offerId, fareConfirmResponseId, getAddPaxOfferId/getAddPaxResponceID, ANCofferId/ANCresponseId, pnr, bookingToken, gdsPNR, etc.) reset/cleared before starting so no stale ID carries over from a prior flow run (Section 6.1). Target environment confirmed non-production, or production Book/BookAfterHold explicitly authorized per the Section 2.9 Testing Note, since this flow commits a live booking. Caution: do not select AirCairo, EgyptAir, Galileo, or SpiceJet for Hold-dependent capabilities without live confirmation -- their Hold support conflicts across SPEC.md source documents (Section 4.4); GLC is confirmed Hold=Not Supported by both sources. Indigo/ElJazeera/OmainAir capability lookups are affected by a known name-mismatch bug (Section 4.5) -- ""no data"" for these three is not evidence of ""unsupported"".","Search (send searchCriteria/passengers; capture responseId->searchResponseId, offers[0].offerId->offerId per the offers[0] test-script convention, SPEC.md 2.1) -> FareConfirm (send ResponseId=searchResponseId [V2 field-name difference vs V1's searchResponseId, 2.2], selectedOfferId=offerId; capture fareConfirmResponseId, selectedOfferId=fareConfirmSelectedOfferId; ASSERT capability flags on selectedOffer relevant to this flow -- no enrichment flags required for this flow, but record them for reference -- these live per-offer flags are authoritative over the static Section 4.2 capability matrix, 2.1/2.2) -> AddPassenger (send ResponseId/selectedOfferId = FareConfirm's own IDs; submit passengersList {title,name,nationality,residentCountry,birthDate,gender,passengerTypeCode,contactRefId,travelDocument,ParentPaxRefId for any INF} + contactsList; capture getAddPaxOfferId, getAddPaxResponceID [collection's own ""Responce"" typo] -- these SUPERSEDE FareConfirm's IDs for every subsequent V2 step, 2.5) -> Hold (capture pnr, bookingToken, gdsPNR, holdExpirationDate) -> FareConfirmAfterHold (pnr/bookingToken/gdsPNR unchanged) -> Retrieve (ASSERT held) -> BookAfterHold (ASSERT pnr/bookingToken/gdsPNR unchanged from Hold) -> Retrieve (ASSERT held->booked) -> Void (send pnr/gdsPNR/bookingToken/surName/voidTickets=[]; gated by voidCapability != VoidNotAllowed; follow-up manual Retrieve should show voided)","Per-family state check (SPEC.md 6.3, Family E): bookingStatus transitions held -> booked via BookAfterHold (same-PNR invariant holds) and then Void succeeds (gated by voidCapability), with a follow-up manual Retrieve expected to show voided/cancelled. Manual price-reconciliation requirement (V2 script coverage gap, SPEC.md 1.4/2.1/6.2/7.10): per passenger type, sum(taxesAndFees[].amount.amount) == paxTotalTaxAmount.amount, and totals reconcile per the Section 2.1 formula; this is enforced by script at Hold/FareConfirmAfterHold/BookAfterHold in V2, but NOT at Search/FareConfirm/Book/Retrieve -- the tester must supply this check manually at every Book/Retrieve step in this flow.","2.1, 2.2, 2.5, 2.9, 2.10, 2.11, 2.12, 2.13, 2.15, 3.2, 6.2, 6.3, 7.5, 7.10","V2 price-reconciliation script coverage gap: enforced at Hold/FareConfirmAfterHold/BookAfterHold, NOT at Search/FareConfirm/Book/Retrieve -- supply the Section 2.1 formula check manually at every Book/Retrieve step in this flow (1.4/7.10).","Not Run"
"FLOW-V2-29-NEG","Flow","V2","V2 FareConfirm-based flow | Enrichment: None | Terminal Family E | Negative: VOID NOTALLOWED","End-to-End Flow - Negative (VOID NOTALLOWED)","[FC-NONE-E][Response] Verify that Void fails when the preceding Book/BookAfterHold response reported voidCapability=VoidNotAllowed.","Medium","High","Required Capabilities: Hold, Void. Injected fault targets: Void. Fault class: VOID NOTALLOWED.","Same supplier/credentialsSelector capability-confirmation and variable-reset preconditions as FLOW-V2-29 (Section 4.7, 6.1). Tester deliberately introduces the described fault at the Void hop instead of the correct value/flag/timing.","Run the positive chain up to and including Void (Search -> FareConfirm -> AddPassenger -> Hold -> FareConfirmAfterHold -> Retrieve -> BookAfterHold -> Retrieve -> Void), then inject the fault at the Void hop as described: that Void fails when the preceding Book/BookAfterHold response reported voidCapability=VoidNotAllowed. Do not proceed past the point where rejection is expected; if the API unexpectedly accepts the faulted request, continue to the next step and record the resulting state as a defect.","Void is expected to fail/be rejected. voidCapability is a live, per-booking flag (SPEC.md 2.9) that should be checked before attempting Void; exact rejection shape is UNKNOWN -- confirm live.","2.9, 2.15, 3.2, 6.3(Family C/E), 7.7","Use ""UNKNOWN exact status -- confirm live"" verbatim in defect reports where SPEC.md does not evidence the failure shape, per Section 7.9's finding that no negative/error example exists in either Postman collection.","Not Run"
